2026-04-22 18:36:32 | INFO     | src.features.technical_indicators | [NVDA] Feature matrix ready: 250 rows x 98 columns
2026-04-22 18:36:32 | INFO     | src.features.technical_indicators | [TSLA] Building features from 501 bars
2026-04-22 18:36:32 | WARNING  | src.features.technical_indicators | Candlestick patterns failed: module 'pandas_ta' has no attribute 'cdl_hammer'
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [TSLA] Trend: +25 features
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [TSLA] Momentum: +13 features
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [TSLA] Volatility: +18 features
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [TSLA] Volume: +11 features
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [TSLA] Returns: +18 features
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [TSLA] Patterns: +4 features
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [TSLA] Regime: +4 features
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [TSLA] Dropped 251 warm-up rows (250 rows remaining)
2026-04-22 18:36:32 | INFO     | src.features.technical_indicators | [TSLA] Feature matrix ready: 250 rows x 98 columns
2026-04-22 18:36:32 | INFO     | src.features.technical_indicators | [SPY] Building features from 501 bars
2026-04-22 18:36:33 | WARNING  | src.features.technical_indicators | Candlestick patterns failed: module 'pandas_ta' has no attribute 'cdl_hammer'
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [SPY] Trend: +25 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [SPY] Momentum: +13 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [SPY] Volatility: +18 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [SPY] Volume: +11 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [SPY] Returns: +18 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [SPY] Patterns: +4 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [SPY] Regime: +4 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [SPY] Dropped 251 warm-up rows (250 rows remaining)
2026-04-22 18:36:33 | INFO     | src.features.technical_indicators | [SPY] Feature matrix ready: 250 rows x 98 columns
2026-04-22 18:36:33 | INFO     | src.features.technical_indicators | [CVX] Building features from 501 bars
2026-04-22 18:36:33 | WARNING  | src.features.technical_indicators | Candlestick patterns failed: module 'pandas_ta' has no attribute 'cdl_hammer'
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [CVX] Trend: +25 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [CVX] Momentum: +13 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [CVX] Volatility: +18 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [CVX] Volume: +11 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [CVX] Returns: +18 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [CVX] Patterns: +4 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [CVX] Regime: +4 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [CVX] Dropped 251 warm-up rows (250 rows remaining)
